Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,470.200012,482.000000,466.850006,477.399994,477.399994,33686172
2019-10-30,479.000000,479.000000,470.000000,471.149994,471.149994,22396012
2019-10-31,475.000000,476.750000,461.299988,463.049988,463.049988,21198377
2019-11-01,466.649994,466.950012,460.500000,462.250000,462.250000,13522994
2019-11-04,463.000000,472.299988,463.000000,470.500000,470.500000,16254715
2019-11-05,472.100006,474.000000,466.899994,468.350006,468.350006,14952189
2019-11-06,467.149994,483.899994,464.750000,480.700012,480.700012,24922680
2019-11-07,483.000000,483.000000,475.649994,478.549988,478.549988,18312032
2019-11-08,480.750000,496.000000,480.299988,489.450012,489.450012,52207121
2019-11-11,488.000000,499.000000,484.600006,496.799988,496.799988,24766065
2019-11-13,496.799988,497.500000,483.299988,485.750000,485.750000,24272664
2019-11-14,489.750000,499.850006,483.750000,498.649994,498.649994,35396276
2019-11-15,497.850006,509.700012,496.000000,499.850006,499.850006,42074833
2019-11-18,498.750000,504.450012,496.649994,498.350006,498.350006,22910109
2019-11-19,497.950012,502.000000,489.850006,493.500000,493.500000,27939336
2019-11-20,495.200012,498.000000,492.500000,495.000000,495.000000,22606112
2019-11-21,498.100006,503.799988,491.250000,498.250000,498.250000,25745594
2019-11-22,501.100006,501.750000,492.149994,496.799988,496.799988,18462401
2019-11-25,492.000000,500.000000,491.549988,497.799988,497.799988,25692878
2019-11-26,501.799988,517.549988,501.000000,510.700012,510.700012,286857658
2019-11-27,513.900024,515.849976,504.299988,505.500000,505.500000,29866539
2019-11-28,509.549988,520.000000,508.000000,519.150024,519.150024,35706498
2019-11-29,516.000000,516.500000,510.299988,512.599976,512.599976,13324549
2019-12-02,513.450012,514.000000,507.250000,510.899994,510.899994,10130049
2019-12-03,509.750000,511.250000,504.649994,509.350006,509.350006,12795657
2019-12-04,510.000000,531.349976,509.299988,529.250000,529.250000,30992538
2019-12-05,532.549988,537.500000,526.049988,528.099976,528.099976,32354118
2019-12-06,530.049988,533.500000,521.650024,524.799988,524.799988,24868376
2019-12-09,524.049988,529.299988,522.200012,526.500000,526.500000,12980877
2019-12-10,526.049988,530.250000,524.700012,528.700012,528.700012,12021443
2019-12-11,530.599976,535.200012,527.200012,533.549988,533.549988,13768156
2019-12-12,534.849976,537.099976,529.799988,535.349976,535.349976,12385216
2019-12-13,537.900024,542.799988,535.700012,537.049988,537.049988,17884861
2019-12-16,539.500000,541.400024,536.700012,539.250000,539.250000,13070575
2019-12-17,540.950012,543.000000,538.750000,541.150024,541.150024,11516163
2019-12-18,542.049988,542.900024,535.950012,541.400024,541.400024,12906168
2019-12-19,537.200012,541.200012,533.700012,540.200012,540.200012,12082790
2019-12-20,540.950012,549.500000,539.250000,546.099976,546.099976,27691592
2019-12-23,547.000000,548.849976,537.599976,541.299988,541.299988,11521942
2019-12-24,542.000000,543.950012,539.299988,541.099976,541.099976,6715007
2019-12-26,541.099976,542.400024,537.650024,538.750000,538.750000,7831074
2019-12-27,541.000000,550.500000,538.349976,549.400024,549.400024,11247684
2019-12-30,549.599976,552.200012,542.599976,543.950012,543.950012,13180302
2019-12-31,543.799988,543.799988,538.000000,538.900024,538.900024,12491978
2020-01-01,539.900024,542.500000,535.700012,536.750000,536.750000,7642793
2020-01-02,536.000000,541.900024,535.849976,540.599976,540.599976,10264223
2020-01-03,538.000000,540.799988,536.250000,538.849976,538.849976,9594690
2020-01-06,537.250000,537.250000,523.799988,525.700012,525.700012,12534334
2020-01-07,531.299988,535.599976,521.650024,522.900024,522.900024,16101835
2020-01-08,516.000000,527.349976,515.000000,525.950012,525.950012,16094310
2020-01-09,530.700012,547.400024,530.299988,546.299988,546.299988,18934019
2020-01-10,544.900024,546.500000,538.500000,540.250000,540.250000,12335407
2020-01-13,539.400024,546.049988,538.000000,538.599976,538.599976,7901800
2020-01-14,536.200012,538.950012,534.150024,537.599976,537.599976,13939440
2020-01-15,535.099976,536.950012,530.650024,535.599976,535.599976,12353176
2020-01-16,533.900024,540.000000,533.200012,537.150024,537.150024,11249232
2020-01-17,534.500000,538.000000,530.599976,532.049988,532.049988,18312609
2020-01-20,533.000000,544.000000,531.000000,534.849976,534.849976,19159996
2020-01-21,532.950012,540.250000,530.200012,531.049988,531.049988,13477994
2020-01-22,531.500000,534.950012,520.750000,522.849976,522.849976,17527408
2020-01-23,521.400024,530.250000,517.049988,527.700012,527.700012,17061293
2020-01-24,529.250000,537.400024,527.000000,533.849976,533.849976,17851868
2020-01-27,538.500000,545.000000,531.500000,537.250000,537.250000,38149166
2020-01-28,538.099976,540.599976,524.450012,528.200012,528.200012,24009224
