Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,706.500000,742.900024,704.250000,738.450012,738.450012,10422117
2019-10-30,745.000000,749.900024,735.500000,747.400024,747.400024,10188947
2019-10-31,748.000000,750.000000,732.049988,736.349976,736.349976,8775411
2019-11-01,736.000000,750.000000,728.099976,748.299988,748.299988,8484197
2019-11-04,754.950012,754.950012,735.549988,742.599976,742.599976,7851370
2019-11-05,741.799988,745.599976,730.599976,738.049988,738.049988,7306253
2019-11-06,736.950012,750.900024,728.750000,747.250000,747.250000,7821243
2019-11-07,750.000000,756.000000,732.500000,734.750000,734.750000,9871570
2019-11-08,735.900024,735.900024,722.799988,725.500000,725.500000,7427196
2019-11-11,723.400024,735.500000,721.200012,733.700012,733.700012,6355142
2019-11-13,733.700012,737.400024,707.849976,711.200012,711.200012,9290616
2019-11-14,711.000000,721.799988,707.250000,715.900024,715.900024,8000528
2019-11-15,716.750000,723.500000,710.599976,716.900024,716.900024,9315652
2019-11-18,717.799988,725.500000,712.200012,722.950012,722.950012,7907958
2019-11-19,725.000000,750.200012,725.000000,747.799988,747.799988,14424251
2019-11-20,748.000000,753.849976,741.250000,748.750000,748.750000,8798051
2019-11-21,749.000000,749.000000,734.299988,737.400024,737.400024,5529542
2019-11-22,737.400024,740.000000,727.500000,732.099976,732.099976,4889776
2019-11-25,731.950012,756.799988,730.000000,754.750000,754.750000,6888402
2019-11-26,756.799988,762.000000,744.000000,752.250000,752.250000,14624880
2019-11-27,755.000000,763.750000,748.400024,752.900024,752.900024,8436862
2019-11-28,752.299988,755.650024,745.750000,750.599976,750.599976,9235443
2019-11-29,749.900024,756.349976,736.500000,739.049988,739.049988,12674173
2019-12-02,739.250000,746.000000,737.349976,744.299988,744.299988,8285491
2019-12-03,744.950012,744.950012,730.650024,733.400024,733.400024,5408215
2019-12-04,732.849976,747.000000,729.299988,739.849976,739.849976,8016237
2019-12-05,743.000000,745.000000,725.299988,729.250000,729.250000,8151690
2019-12-06,732.799988,735.250000,715.000000,717.599976,717.599976,7458610
2019-12-09,713.450012,733.900024,710.000000,732.000000,732.000000,8977174
2019-12-10,731.000000,734.799988,714.000000,715.700012,715.700012,7625748
